tender_no.,tender_description,agency,award_date,tender_detail_status,supplier_name,awarded_amt_v1,awarded_amt,main_category,augmented_text
NUSDEPETT15000094,"Supply, Delivery, Installation and Commissioning of One Unit of Aberration Corrected Transmission Electron Microscopy",National University of Singapore,23/6/2015,Awarded to Suppliers,JEOL ASIA PTE. LTD.,"4,630,000.0",$4630000,Educational & Research Institutions,"The contract was awarded on 23/6/2015 to JEOL ASIA PTE. LTD. with a value of $4630000.0. With an aim to secure quality services, National University of Singapore from Educational & Research Institutions published Tender No. NUSDEPETT15000094 for Supply, Delivery, Installation and Commissioning of One Unit of Aberration Corrected Transmission Electron Microscopy. The current status of the tender is: Awarded to Suppliers."
NYP000ETT18300020,Supply and Delivery of a Biometric System,Nanyang Polytechnic,20/11/2018,Awarded to Suppliers,iMotions A/S,"104,588.7",$104588.67,Educational & Research Institutions,"Announcing Tender No. NYP000ETT18300020, Nanyang Polytechnic (Educational & Research Institutions) invites proposals for Supply and Delivery of a Biometric System. iMotions A/S was chosen on 20/11/2018 to fulfill the tender with a total value of $104588.67. This tender holds the status: Awarded to Suppliers."
ITE000ETT15000087,Two-year Renewal of Software Update Licenses & Support for PeopleSoft Campus Solutions Ver 9.0 & PeopleSoft Human Resource Management Systems Ver 9.1 and Purchase of Incremental Licenses & its Technical Support Services for PeopleSoft Human Resource Management Systems Ver 9.1,Institute of Technical Education,17/3/2016,Awarded to Suppliers,Oracle Corporation Singapore Pte Ltd,"1,119,532.6",$1119532.57,Educational & Research Institutions,"Institute of Technical Education (Educational & Research Institutions) has issued Tender No. ITE000ETT15000087 seeking submissions for Two-year Renewal of Software Update Licenses & Support for PeopleSoft Campus Solutions Ver 9.0 & PeopleSoft Human Resource Management Systems Ver 9.1 and Purchase of Incremental Licenses & its Technical Support Services for PeopleSoft Human Resource Management Systems Ver 9.1. This tender holds the status: Awarded to Suppliers. On 17/3/2016, Oracle Corporation Singapore Pte Ltd secured the contract, which is valued at $1119532.57."
NUSGMSETT15800012,"LIBRARY PREPARATION AND GENERATION AND RNA SEQUENCING SERVICE FOR A TOTAL OF 75 SAMPLES FOR DUKE-NUS GRADUATE MEDICAL SCHOOL, SINGAPORE",Duke-NUS Medical School,20/4/2015,Awarded to Suppliers,OTOGENETICS CORPORATION,"127,449.0",$127449,Educational & Research Institutions,"This tender holds the status: Awarded to Suppliers. Duke-NUS Medical School (Educational & Research Institutions) has issued Tender No. NUSGMSETT15800012 seeking submissions for LIBRARY PREPARATION AND GENERATION AND RNA SEQUENCING SERVICE FOR A TOTAL OF 75 SAMPLES FOR DUKE-NUS GRADUATE MEDICAL SCHOOL, SINGAPORE. OTOGENETICS CORPORATION was chosen on 20/4/2015 to fulfill the tender with a total value of $127449.0."
SPO000ETT20300020,RO20/INDT/0012 - TENDER FOR SAS2 TECH REFRESH AND APPLICATION MAINTENANCE SUPPORT.,Singapore Polytechnic,2/12/2020,Awarded to Suppliers,S & I SYSTEMS PTE LTD,"2,364,673.0",$2364673,Educational & Research Institutions,Tender status is recorded as 'Awarded to Suppliers'. The contract was awarded on 2/12/2020 to S & I SYSTEMS PTE LTD with a value of $2364673.0. Singapore Polytechnic (Educational & Research Institutions) has issued Tender No. SPO000ETT20300020 seeking submissions for RO20/INDT/0012 - TENDER FOR SAS2 TECH REFRESH AND APPLICATION MAINTENANCE SUPPORT..
NUSGMSETT15800001,"FOR THE SUPPLY AND DELIVERY OF A SURVEY TITLED SINGAPORE ASSESSMENT FOR FRAILTY IN ELDERLY BUILDING UPON THE PANEL ON HEALTH AND AGEING OF SINGAPOREAN ELDERLY 2015 FOR DUKE-NUS, HEALTH SERVICES & SYSTEMS RESEARCH (HSSR) PROGRAM",Duke-NUS Medical School,16/3/2015,Awarded to Suppliers,MAJESTIC RESEARCH SERVICES ASIA PTE. LIMITED,"254,650.0",$254650,Educational & Research Institutions,"With an aim to secure quality services, Duke-NUS Medical School from Educational & Research Institutions published Tender No. NUSGMSETT15800001 for FOR THE SUPPLY AND DELIVERY OF A SURVEY TITLED SINGAPORE ASSESSMENT FOR FRAILTY IN ELDERLY BUILDING UPON THE PANEL ON HEALTH AND AGEING OF SINGAPOREAN ELDERLY 2015 FOR DUKE-NUS, HEALTH SERVICES & SYSTEMS RESEARCH (HSSR) PROGRAM. Tender status is recorded as 'Awarded to Suppliers'. Following a thorough evaluation, the award was granted on 16/3/2015 to MAJESTIC RESEARCH SERVICES ASIA PTE. LIMITED for $254650.0."
SPO000ETT15000161,CT15/0100 - One unit of Flow Wrapper.,Singapore Polytechnic,12/1/2016,Awarded to Suppliers,SPLENDOR INNOVATIVE PTE. LTD.,"54,430.1",$54430.1,Educational & Research Institutions,"This tender holds the status: Awarded to Suppliers. SPLENDOR INNOVATIVE PTE. LTD. was chosen on 12/1/2016 to fulfill the tender with a total value of $54430.1. Announcing Tender No. SPO000ETT15000161, Singapore Polytechnic (Educational & Research Institutions) invites proposals for CT15/0100 - One unit of Flow Wrapper.."
RPO000ETT17000030,Provision of Jira Software License Maintenance for a period of 3 years for OIS,Republic Polytechnic,29/8/2017,Awarded to No Suppliers,Unknown,0.0,$0,Educational & Research Institutions,"The current status of the tender is: Awarded to No Suppliers. Republic Polytechnic (Educational & Research Institutions) has issued Tender No. RPO000ETT17000030 seeking submissions for Provision of Jira Software License Maintenance for a period of 3 years for OIS. Ultimately, no supplier was selected, and the tender remained unawarded as of 29/8/2017."
NUSDEPETT16000118,"Proposed Services Diversion and Demolition of MD5 Building at 12 Medical Drive, Singapore 117 598 (National University of Singapore) - SC 265",National University of Singapore,1/7/2016,Awarded to Suppliers,SIN GUAN TECK ENGINEERING PTE. LTD.,"704,000.0",$704000,Educational & Research Institutions,"This tender holds the status: Awarded to Suppliers. SIN GUAN TECK ENGINEERING PTE. LTD. was chosen on 1/7/2016 to fulfill the tender with a total value of $704000.0. In a call for competitive bids, National University of Singapore (Educational & Research Institutions) released Tender No. NUSDEPETT16000118 regarding Proposed Services Diversion and Demolition of MD5 Building at 12 Medical Drive, Singapore 117 598 (National University of Singapore) - SC 265."
SCB000ETT16000021,Tender for the Engagement of Social Media Agency / Service Provider for KidsSTOP,Science Centre Board,28/11/2016,Awarded to Suppliers,IPG MEDIABRANDS (SINGAPORE) PTE. LTD.,"108,008.0",$108008,Educational & Research Institutions,"Tender status is recorded as 'Awarded to Suppliers'. On 28/11/2016, IPG MEDIABRANDS (SINGAPORE) PTE. LTD. secured the contract, which is valued at $108008.0. With an aim to secure quality services, Science Centre Board from Educational & Research Institutions published Tender No. SCB000ETT16000021 for Tender for the Engagement of Social Media Agency / Service Provider for KidsSTOP."
NTU000ETT15000143,Supply and Commissioning of One Unit of Low Vibration Low Temperature Research System to the School of Physical & Mathematical Sciences (SPMS),Nanyang Technological University,6/10/2015,Awarded to Suppliers,"CRYOMAGNETICS, INC.","299,982.3",$299982.34,Educational & Research Institutions,"With an aim to secure quality services, Nanyang Technological University from Educational & Research Institutions published Tender No. NTU000ETT15000143 for Supply and Commissioning of One Unit of Low Vibration Low Temperature Research System to the School of Physical & Mathematical Sciences (SPMS). The current status of the tender is: Awarded to Suppliers. On 6/10/2015, CRYOMAGNETICS, INC. secured the contract, which is valued at $299982.34."
NUSGMSETT15800033,"SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF A PRECLINICAL IMAGING SYSTEM FOR A SINGLE UNIT EXISTING OF FULLY INTEGRATED ULTRA-HIGH RESOLUTION AND ULTRA-HIGH SENSITIVITY SPECT-PET-CT IMAGING FOR THE VISUALIZATION OF A WIDE VARIETY OF RADIOISOTOPES IN MICE AND RATS FOR DUKE-NUS GRADUATE MEDICAL SCHOOL, NATIONAL UNIVERSITY OF SINGAPORE",Duke-NUS Medical School,29/1/2016,Awarded to Suppliers,MILABS B.V.,"1,099,951.0",$1099951,Educational & Research Institutions,"Duke-NUS Medical School, a prominent Educational & Research Institutions organization, has launched Tender No. NUSGMSETT15800033 for SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF A PRECLINICAL IMAGING SYSTEM FOR A SINGLE UNIT EXISTING OF FULLY INTEGRATED ULTRA-HIGH RESOLUTION AND ULTRA-HIGH SENSITIVITY SPECT-PET-CT IMAGING FOR THE VISUALIZATION OF A WIDE VARIETY OF RADIOISOTOPES IN MICE AND RATS FOR DUKE-NUS GRADUATE MEDICAL SCHOOL, NATIONAL UNIVERSITY OF SINGAPORE. On 29/1/2016, MILABS B.V. secured the contract, which is valued at $1099951.0. Status update: Awarded to Suppliers."
NUSDEPETT16000335,"Provision of daily maintenance and horticulture services at Zone 2 & Zone 3, King Edward VII Hall, Ridge View Residences, Kent Vale Estate & Prince George's Park Residences at National University of Singapore for the period of 24 months with the right of the University to exercise an option to continue for a further 24 months",National University of Singapore,6/1/2017,Awarded to Suppliers,TOH KIM BOCK C-E CONTRACTOR PTE LTD,"1,728,000.0",$1728000,Educational & Research Institutions,"TOH KIM BOCK C-E CONTRACTOR PTE LTD was chosen on 6/1/2017 to fulfill the tender with a total value of $1728000.0. The current status of the tender is: Awarded to Suppliers. Announcing Tender No. NUSDEPETT16000335, National University of Singapore (Educational & Research Institutions) invites proposals for Provision of daily maintenance and horticulture services at Zone 2 & Zone 3, King Edward VII Hall, Ridge View Residences, Kent Vale Estate & Prince George's Park Residences at National University of Singapore for the period of 24 months with the right of the University to exercise an option to continue for a further 24 months."
SSG000ETT18300009,INVITATION TO TENDER FOR THE PROVISION OF SURVEY MANAGEMENT SERVICES FOR AUTOMATION PROJECT,SkillsFuture Singapore,27/4/2018,Awarded to Suppliers,CONSULTING GROUP - ASIA INSIGHT PTE. LTD.,"47,850.0",$47850,Educational & Research Institutions,SkillsFuture Singapore (Educational & Research Institutions) has issued Tender No. SSG000ETT18300009 seeking submissions for INVITATION TO TENDER FOR THE PROVISION OF SURVEY MANAGEMENT SERVICES FOR AUTOMATION PROJECT. The contract was awarded on 27/4/2018 to CONSULTING GROUP - ASIA INSIGHT PTE. LTD. with a value of $47850.0. This tender holds the status: Awarded to Suppliers.
NPO000ETT16000106,"[Tender: NP/FMS/73/16; GRF: FMS/16/0008] Supply, delivery and installation of TV Studio Full HD Cameras & Accessories",Ngee Ann Polytechnic,14/2/2017,Awarded to Suppliers,ECAST TECHNOLOGIES PTE LTD,"336,663.0",$336663,Educational & Research Institutions,"The contract was awarded on 14/2/2017 to ECAST TECHNOLOGIES PTE LTD with a value of $336663.0. In a call for competitive bids, Ngee Ann Polytechnic (Educational & Research Institutions) released Tender No. NPO000ETT16000106 regarding [Tender: NP/FMS/73/16; GRF: FMS/16/0008] Supply, delivery and installation of TV Studio Full HD Cameras & Accessories. The current status of the tender is: Awarded to Suppliers."
TPO000ETT15000058,"TENDER FOR SUPPLY, DELIVERY, INSTALLATION, TESTING, COMMISSIONING OF FULLY OPERATIONAL DATA SCIENCE ACADEMY WITH OPTION FOR MAINTENANCE",Temasek Polytechnic,11/3/2016,Awarded to Suppliers,NCS PTE. LTD.,"1,498,500.0",$1498500,Educational & Research Institutions,"On 11/3/2016, NCS PTE. LTD. secured the contract, which is valued at $1498500.0. Status update: Awarded to Suppliers. Announcing Tender No. TPO000ETT15000058, Temasek Polytechnic (Educational & Research Institutions) invites proposals for TENDER FOR SUPPLY, DELIVERY, INSTALLATION, TESTING, COMMISSIONING OF FULLY OPERATIONAL DATA SCIENCE ACADEMY WITH OPTION FOR MAINTENANCE."
NTU000ETT15000214,Proposed Upgrading of Plumbing Works in Nanyang Technological University,Nanyang Technological University,27/6/2016,Awarded to Suppliers,YONG HOE ENTERPRISE PTE LTD,"6,299,710.0",$6299710,Educational & Research Institutions,"Status update: Awarded to Suppliers. Nanyang Technological University (Educational & Research Institutions) has issued Tender No. NTU000ETT15000214 seeking submissions for Proposed Upgrading of Plumbing Works in Nanyang Technological University. On 27/6/2016, YONG HOE ENTERPRISE PTE LTD secured the contract, which is valued at $6299710.0."
ITE000ETT20300006,"C19a-19-00894_MRE_SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF ONE SET OF FULL MISSION MARINE SIMULATOR SYSTEM",Institute of Technical Education,3/6/2020,Awarded to Suppliers,WARTSILA VOYAGE PACIFIC PTE. LTD.,"284,715.0",$284715,Educational & Research Institutions,"WARTSILA VOYAGE PACIFIC PTE. LTD. was chosen on 3/6/2020 to fulfill the tender with a total value of $284715.0. Announcing Tender No. ITE000ETT20300006, Institute of Technical Education (Educational & Research Institutions) invites proposals for C19a-19-00894_MRE_SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF ONE SET OF FULL MISSION MARINE SIMULATOR SYSTEM. The current status of the tender is: Awarded to Suppliers."
RPO000ETT15000071,"TENDER FOR THE SUPPLY, DELIVERY, INSTALLATION, AND COMMISSIONING OF NINE (9) UNITS OF ADDITIVE MANUFACTURING EQUIPMENT COMPLETE WITH SUPPORTING SOFTWARE, AUXILIARY EQUIPMENT, ACCESSORIES,CONSUMABLE ITEMS AND POST WARRANTY MAINTENANCE SERVICES FOR PERIOD OF 3 YEARS FOR SEG",Republic Polytechnic,19/4/2016,Awarded to Suppliers,CREATZ3D PTE. LTD.,"787,353.9",$787353.9,Educational & Research Institutions,"Republic Polytechnic, a prominent Educational & Research Institutions organization, has launched Tender No. RPO000ETT15000071 for TENDER FOR THE SUPPLY, DELIVERY, INSTALLATION, AND COMMISSIONING OF NINE (9) UNITS OF ADDITIVE MANUFACTURING EQUIPMENT COMPLETE WITH SUPPORTING SOFTWARE, AUXILIARY EQUIPMENT, ACCESSORIES,CONSUMABLE ITEMS AND POST WARRANTY MAINTENANCE SERVICES FOR PERIOD OF 3 YEARS FOR SEG. The contract was awarded on 19/4/2016 to CREATZ3D PTE. LTD. with a value of $787353.9. The current status of the tender is: Awarded to Suppliers."
NUSDEPETT16000065,"Supply and Delivery of Tentage and Logistics for Bukit Timah Homecoming 2016 event for the Office of Alumni Relations, National University of Singapore for period 26 June 2016 to 6 July 2016",National University of Singapore,17/3/2016,Awarded to Suppliers,SENG HENG TENTAGE RENTALS PTE. LTD.,"117,250.0",$117250,Educational & Research Institutions,"Status update: Awarded to Suppliers. Following a thorough evaluation, the award was granted on 17/3/2016 to SENG HENG TENTAGE RENTALS PTE. LTD. for $117250.0. National University of Singapore, a prominent Educational & Research Institutions organization, has launched Tender No. NUSDEPETT16000065 for Supply and Delivery of Tentage and Logistics for Bukit Timah Homecoming 2016 event for the Office of Alumni Relations, National University of Singapore for period 26 June 2016 to 6 July 2016."
NUSDEPETT16000046,(100/N-712-200-001-001) Facility hook-up for 3 units of STG Dryer inside cleanroom 1A and 1B,National University of Singapore,21/3/2016,Awarded to Suppliers,ELLIPSIZ DSS PTE. LTD.,"112,205.0",$112205,Educational & Research Institutions,"The contract was awarded on 21/3/2016 to ELLIPSIZ DSS PTE. LTD. with a value of $112205.0. In a call for competitive bids, National University of Singapore (Educational & Research Institutions) released Tender No. NUSDEPETT16000046 regarding (100/N-712-200-001-001) Facility hook-up for 3 units of STG Dryer inside cleanroom 1A and 1B. The current status of the tender is: Awarded to Suppliers."
NPO000ETT15000082,(Tender: NP/FMS/49/15; GRF: FMS/15/0038) Radio and Audio Facility Upgrade,Ngee Ann Polytechnic,12/1/2016,Awarded to Suppliers,BROADCAST COMMUNICATIONS INTERNATIONAL PTE. LTD.,"169,798.0",$169798,Educational & Research Institutions,The current status of the tender is: Awarded to Suppliers. BROADCAST COMMUNICATIONS INTERNATIONAL PTE. LTD. was chosen on 12/1/2016 to fulfill the tender with a total value of $169798.0. Ngee Ann Polytechnic (Educational & Research Institutions) has issued Tender No. NPO000ETT15000082 seeking submissions for (Tender: NP/FMS/49/15; GRF: FMS/15/0038) Radio and Audio Facility Upgrade.
ITE000ETT17000005,Provision of medical check-up and vaccinations for Overseas trip,Institute of Technical Education,8/5/2017,Awarded to Suppliers,RAFFLES MEDICAL GROUP LTD,79.8,$79.8,Educational & Research Institutions,RAFFLES MEDICAL GROUP LTD was chosen on 8/5/2017 to fulfill the tender with a total value of $79.8. This tender holds the status: Awarded to Suppliers. Institute of Technical Education (Educational & Research Institutions) has issued Tender No. ITE000ETT17000005 seeking submissions for Provision of medical check-up and vaccinations for Overseas trip.
RPO000ETT18300054,Supply and Support of Content Manager 9.3 & Software License Software Maintenance Services for a period of 3 years (OIS),Republic Polytechnic,11/2/2019,Awarded to Suppliers,HKBN JOS (SINGAPORE) PTE. LTD.,"211,140.0",$211140,Educational & Research Institutions,"Following a thorough evaluation, the award was granted on 11/2/2019 to HKBN JOS (SINGAPORE) PTE. LTD. for $211140.0. Republic Polytechnic, a prominent Educational & Research Institutions organization, has launched Tender No. RPO000ETT18300054 for Supply and Support of Content Manager 9.3 & Software License Software Maintenance Services for a period of 3 years (OIS). The current status of the tender is: Awarded to Suppliers."
NTU000ETT16000046,"Supply and Commissioning of One Unit of Tripod-Mounted Laser Scanner System, One Unit of Hand-Guided Laser Scanner System and One Unit of Reverse Engineering Software to Singapore Centre for 3D Printing (Marine & Offshore Lab), School of Mechanical and Aerospace Engineering (MAE)",Nanyang Technological University,1/7/2016,Awarded to Suppliers,FARO SINGAPORE PTE. LTD.,"136,203.4",$136203.44,Educational & Research Institutions,"This tender holds the status: Awarded to Suppliers. The contract was awarded on 1/7/2016 to FARO SINGAPORE PTE. LTD. with a value of $136203.44. Nanyang Technological University (Educational & Research Institutions) has issued Tender No. NTU000ETT16000046 seeking submissions for Supply and Commissioning of One Unit of Tripod-Mounted Laser Scanner System, One Unit of Hand-Guided Laser Scanner System and One Unit of Reverse Engineering Software to Singapore Centre for 3D Printing (Marine & Offshore Lab), School of Mechanical and Aerospace Engineering (MAE)."
ITE000ETT16000032,Preventive maintenance and servicing of the compressed air plant at ITE College Central,Institute of Technical Education,23/11/2016,Awarded to No Suppliers,Unknown,0.0,$0,Educational & Research Institutions,"Status update: Awarded to No Suppliers. Despite an extensive review, no supplier met the criteria by 23/11/2016. Announcing Tender No. ITE000ETT16000032, Institute of Technical Education (Educational & Research Institutions) invites proposals for Preventive maintenance and servicing of the compressed air plant at ITE College Central."
EAB000ETT20300004,"Supply, Fabricate, Install and Deliver Furniture (Common Areas) for Singapore Examinations and Assessment Board",Singapore Examinations and Assessment Board,19/5/2020,Awarded by Items,BENEL SINGAPORE PTE LTD,"75,040.0",$75040,Educational & Research Institutions,"Singapore Examinations and Assessment Board, a prominent Educational & Research Institutions organization, has launched Tender No. EAB000ETT20300004 for Supply, Fabricate, Install and Deliver Furniture (Common Areas) for Singapore Examinations and Assessment Board. The current status of the tender is: Awarded by Items. After a meticulous evaluation, no supplier was awarded as of 19/5/2020."
NUSDEPETT17000148,"Lease, installation, fabrication, operation and maintenance of monitoring equipment with datalogging and telemetry systems and to provide manpower for wet weather auto-sampler sample collections and transport for ABC waters design features for punggol new town c39 precinct to Tropical Marine Science Institute, National University of Singapore for a period of 12 months, with an option to extend for up to 3 more months.",National University of Singapore,24/7/2017,Awarded to Suppliers,ECO FIELD SERVICES PTE. LTD.,"227,821.0",$227821,Educational & Research Institutions,"This tender holds the status: Awarded to Suppliers. National University of Singapore, a prominent Educational & Research Institutions organization, has launched Tender No. NUSDEPETT17000148 for Lease, installation, fabrication, operation and maintenance of monitoring equipment with datalogging and telemetry systems and to provide manpower for wet weather auto-sampler sample collections and transport for ABC waters design features for punggol new town c39 precinct to Tropical Marine Science Institute, National University of Singapore for a period of 12 months, with an option to extend for up to 3 more months.. The contract was awarded on 24/7/2017 to ECO FIELD SERVICES PTE. LTD. with a value of $227821.0."
EAB000ETT16000008,"Supplying, printing, packing and delivery of Stationery and Printed Materials",Singapore Examinations and Assessment Board,5/5/2016,Awarded to Suppliers,Standard Form Pte Ltd,"293,999.9",$293999.9,Educational & Research Institutions,"Singapore Examinations and Assessment Board, a prominent Educational & Research Institutions organization, has launched Tender No. EAB000ETT16000008 for Supplying, printing, packing and delivery of Stationery and Printed Materials. Standard Form Pte Ltd was chosen on 5/5/2016 to fulfill the tender with a total value of $293999.9. Tender status is recorded as 'Awarded to Suppliers'."
NPO000ETT14000104,"(Tender: NP/ED/67C/14, GRF: ED/14/0018) Direct Contract for Supply & Delivery Loose Furniture for Foodcourt, Student Services Office & Student Lounge at Blk 22",Ngee Ann Polytechnic,26/1/2015,Awarded to Suppliers,CHATEAU ITALIA PTE LTD,"199,800.0",$199800,Educational & Research Institutions,"The current status of the tender is: Awarded to Suppliers. Following a thorough evaluation, the award was granted on 26/1/2015 to CHATEAU ITALIA PTE LTD for $199800.0. Ngee Ann Polytechnic (Educational & Research Institutions) has issued Tender No. NPO000ETT14000104 seeking submissions for (Tender: NP/ED/67C/14, GRF: ED/14/0018) Direct Contract for Supply & Delivery Loose Furniture for Foodcourt, Student Services Office & Student Lounge at Blk 22."
NYP000ETT17000012,"Renovation Works to Tutorial Rooms at School of Engineering Blk S, Level 3",Nanyang Polytechnic,13/6/2017,Awarded to Suppliers,Rita Metal & Wooden Furniture Construction Pte Ltd,"40,752.0",$40752,Educational & Research Institutions,"With an aim to secure quality services, Nanyang Polytechnic from Educational & Research Institutions published Tender No. NYP000ETT17000012 for Renovation Works to Tutorial Rooms at School of Engineering Blk S, Level 3. The current status of the tender is: Awarded to Suppliers. On 13/6/2017, Rita Metal & Wooden Furniture Construction Pte Ltd secured the contract, which is valued at $40752.0."
TPO000ETT16000050,Proposed Additions and Alterations to Labs at part of 6th and 7th storey of existing block 1A of Temasek Polytechnic on Lot 06163C MK 28 at 21 Tampines Ave 1,Temasek Polytechnic,12/5/2017,Awarded to No Suppliers,Unknown,0.0,$0,Educational & Research Institutions,"This tender holds the status: Awarded to No Suppliers. In a call for competitive bids, Temasek Polytechnic (Educational & Research Institutions) released Tender No. TPO000ETT16000050 regarding Proposed Additions and Alterations to Labs at part of 6th and 7th storey of existing block 1A of Temasek Polytechnic on Lot 06163C MK 28 at 21 Tampines Ave 1. After a meticulous evaluation, no supplier was awarded as of 12/5/2017."
ITE000ETT14000050,Outsourcing of the ITE-Human Capital System (ITE-HCS) Maintenance & Support Services,Institute of Technical Education,2/1/2015,Awarded to Suppliers,HCL SINGAPORE PTE. LTD.,"1,419,936.0",$1419936,Educational & Research Institutions,"Status update: Awarded to Suppliers. Announcing Tender No. ITE000ETT14000050, Institute of Technical Education (Educational & Research Institutions) invites proposals for Outsourcing of the ITE-Human Capital System (ITE-HCS) Maintenance & Support Services. Following a thorough evaluation, the award was granted on 2/1/2015 to HCL SINGAPORE PTE. LTD. for $1419936.0."
NIE000ETT18000006,Proposed Replacement of Fire Protection System with 5 Years Term Contract for Comprehensive Service Maintenance and Optional 5 Years Comprehensive Service Maintenance at National Institute of Education at 1 Nanyang Walk Singapore,National Institute of Education,31/10/2018,Awarded to Suppliers,FITTERLAB ENGINEERING PTE. LTD.,"1,176,668.0",$1176668,Educational & Research Institutions,"This tender holds the status: Awarded to Suppliers. The contract was awarded on 31/10/2018 to FITTERLAB ENGINEERING PTE. LTD. with a value of $1176668.0. With an aim to secure quality services, National Institute of Education from Educational & Research Institutions published Tender No. NIE000ETT18000006 for Proposed Replacement of Fire Protection System with 5 Years Term Contract for Comprehensive Service Maintenance and Optional 5 Years Comprehensive Service Maintenance at National Institute of Education at 1 Nanyang Walk Singapore."
NUSDEPETT15000257,"SUPPLY AND INSTALLATION OF CLOSED CIRCUIT TELEVISION (CCTV) SYSTEM AT KENT VALE 1 ESTATE FOR NATIONAL UNIVERSITY OF SINGAPORE, ACTING THROUGH ITS OFFICE OF HOUSING SERVICES",National University of Singapore,23/11/2015,Awarded to Suppliers,FORCE 21 EQUIPMENT PTE LTD,"388,000.0",$388000,Educational & Research Institutions,"Following a thorough evaluation, the award was granted on 23/11/2015 to FORCE 21 EQUIPMENT PTE LTD for $388000.0. This tender holds the status: Awarded to Suppliers. National University of Singapore (Educational & Research Institutions) has issued Tender No. NUSDEPETT15000257 seeking submissions for SUPPLY AND INSTALLATION OF CLOSED CIRCUIT TELEVISION (CCTV) SYSTEM AT KENT VALE 1 ESTATE FOR NATIONAL UNIVERSITY OF SINGAPORE, ACTING THROUGH ITS OFFICE OF HOUSING SERVICES."
TPO000ETT16000001,"TENDER FOR INTEGRATED TERM CONTRACT FOR MECHANICAL, ELECTRICAL AND AUDIO VISUAL SYSTEMS MAINTENANCE AND OPERATIONS SERVICES AT TEMASEK POLYTECHNIC FOR A PERIOD OF 2 YEARS FROM 1 APRIL 2016 TO 31 MARCH 2018, WITH AN OPTION TO EXTEND FOR ANOTHER 2 YEARS , ON YEAR-BY-YEAR BASIS.",Temasek Polytechnic,22/3/2016,Awarded to Suppliers,SMM PTE. LTD.,"4,988,096.0",$4988096,Educational & Research Institutions,"SMM PTE. LTD. was chosen on 22/3/2016 to fulfill the tender with a total value of $4988096.0. Announcing Tender No. TPO000ETT16000001, Temasek Polytechnic (Educational & Research Institutions) invites proposals for TENDER FOR INTEGRATED TERM CONTRACT FOR MECHANICAL, ELECTRICAL AND AUDIO VISUAL SYSTEMS MAINTENANCE AND OPERATIONS SERVICES AT TEMASEK POLYTECHNIC FOR A PERIOD OF 2 YEARS FROM 1 APRIL 2016 TO 31 MARCH 2018, WITH AN OPTION TO EXTEND FOR ANOTHER 2 YEARS , ON YEAR-BY-YEAR BASIS.. Tender status is recorded as 'Awarded to Suppliers'."
NYP000ETT19300018,Term Contract for Precision Fabrication Works for a Period of Two Years,Nanyang Polytechnic,23/7/2019,Awarded by Items,BUILD-UP MOULDING & MACHINING,"100,000.0",$100000,Educational & Research Institutions,"After a meticulous evaluation, no supplier was awarded as of 23/7/2019. Status update: Awarded by Items. Nanyang Polytechnic (Educational & Research Institutions) has issued Tender No. NYP000ETT19300018 seeking submissions for Term Contract for Precision Fabrication Works for a Period of Two Years."
SDC000ETT19300008,"SUPPLY, INSTALLATION, TESTING AND COMMISSIONING OF SOUND SYSTEM AND OUTDOOR PUBLIC ADDRESS SYSTEM FOR FORT SILOSO ATTRACTION, SENTOSA",Sentosa Development Corporation,14/8/2019,Awarded to Suppliers,ASKA ENGINEERING & TRADING PTE LTD,"121,800.0",$121800,Government-Linked Organizations,"Status update: Awarded to Suppliers. On 14/8/2019, ASKA ENGINEERING & TRADING PTE LTD secured the contract, which is valued at $121800.0. Sentosa Development Corporation (Government-Linked Organizations) has issued Tender No. SDC000ETT19300008 seeking submissions for SUPPLY, INSTALLATION, TESTING AND COMMISSIONING OF SOUND SYSTEM AND OUTDOOR PUBLIC ADDRESS SYSTEM FOR FORT SILOSO ATTRACTION, SENTOSA."
JTC000ETT19300158,Environmental Feasibility Study Environmental Impact Assessment for Northern Tuas Basin,Jurong Town Corporation,6/3/2020,Awarded to Suppliers,DHI WATER & ENVIRONMENT (S) PTE. LTD.,"1,088,888.0",$1088888,Government-Linked Organizations,"This tender holds the status: Awarded to Suppliers. Following a thorough evaluation, the award was granted on 6/3/2020 to DHI WATER & ENVIRONMENT (S) PTE. LTD. for $1088888.0. Jurong Town Corporation, a prominent Government-Linked Organizations organization, has launched Tender No. JTC000ETT19300158 for Environmental Feasibility Study Environmental Impact Assessment for Northern Tuas Basin."
SDC000ETT16000061,OUTCOME-BASED PROCUREMENT FOR THE DEVELOPMENT OF INTEGRATED GUEST EXPERIENCE (iGX) PLATFORM,Sentosa Development Corporation,20/4/2017,Awarded to Suppliers,ACCENTURE PTE LTD,"270,000.0",$270000,Government-Linked Organizations,"Announcing Tender No. SDC000ETT16000061, Sentosa Development Corporation (Government-Linked Organizations) invites proposals for OUTCOME-BASED PROCUREMENT FOR THE DEVELOPMENT OF INTEGRATED GUEST EXPERIENCE (iGX) PLATFORM. Following a thorough evaluation, the award was granted on 20/4/2017 to ACCENTURE PTE LTD for $270000.0. Tender status is recorded as 'Awarded to Suppliers'."
